ZIP,CITY,COUNTY,STATE
90011,Los Angeles,Los Angeles,California
91331,Pacoima,Los Angeles,California
90650,Norwalk,Los Angeles,California
90201,Bell,Los Angeles,California
90044,Los Angeles,Los Angeles,California
92335,Fontana,San Bernardino,California
92336,Fontana,San Bernardino,California
94565,Pittsburg,Contra Costa,California
90250,Hawthorne,Los Angeles,California
90805,Long Beach,Los Angeles,California
92503,Riverside,Riverside,California
90280,South Gate,Los Angeles,California
91342,Sylmar,Los Angeles,California
91710,Chino,San Bernardino,California
92683,Westminster,Orange,California
92804,Anaheim,Orange,California
92154,San Diego,San Diego,California
92704,Santa Ana,Orange,California
95076,Watsonville,Santa Cruz,California
93307,Bakersfield,Kern,California
92376,Rialto,San Bernardino,California
91744,La Puente,Los Angeles,California
92592,Temecula,Riverside,California
94112,San Francisco,San Francisco,California
93033,Oxnard,Ventura,California
93722,Fresno,Fresno,California
93727,Fresno,Fresno,California
91911,Chula Vista,San Diego,California
92126,San Diego,San Diego,California
92345,Hesperia,San Bernardino,California
91335,Reseda,Los Angeles,California
92509,Riverside,Riverside,California
91709,Chino Hills,San Bernardino,California
94544,Hayward,Alameda,California
95035,Milpitas,Santa Clara,California
95823,Sacramento,Sacramento,California
95630,Folsom,Sacramento,California
93550,Palmdale,Los Angeles,California
90706,Bellflower,Los Angeles,California
91706,Baldwin Park,Los Angeles,California
93257,Porterville,Tulare,California
92553,Moreno Valley,Riverside,California
94533,Fairfield,Solano,California
90255,Huntington Park,Los Angeles,California
91910,Chula Vista,San Diego,California
94536,Fremont,Alameda,California
94587,Union City,Alameda,California
92805,Anaheim,Orange,California
93535,Lancaster,Los Angeles,California
93274,Tulare,Tulare,California
90003,Los Angeles,Los Angeles,California
92105,San Diego,San Diego,California
92882,Corona,Riverside,California
91730,Rancho Cucamonga,San Bernardino,California
94110,San Francisco,San Francisco,California
91766,Pomona,Los Angeles,California
93306,Bakersfield,Kern,California
91402,Panorama City,Los Angeles,California
93065,Simi Valley,Ventura,California
90262,Lynwood,Los Angeles,California
93536,Lancaster,Los Angeles,California
92021,El Cajon,San Diego,California
92880,Corona,Riverside,California
92563,Murrieta,Riverside,California
92703,Santa Ana,Orange,California
90631,La Habra,Orange,California
95687,Vacaville,Solano,California
90026,Los Angeles,Los Angeles,California
92114,San Diego,San Diego,California
95123,San Jose,Santa Clara,California
92407,San Bernardino,San Bernardino,California
94558,Napa,Napa,California
94509,Antioch,Contra Costa,California
90037,Los Angeles,Los Angeles,California
93230,Hanford,Kings,California
94080,South San Francisco,San Mateo,California
94538,Fremont,Alameda,California
90022,Los Angeles,Los Angeles,California
95747,Roseville,Placer,California
91343,North Hills,Los Angeles,California
92801,Anaheim,Orange,California
92677,Laguna Niguel,Orange,California
95127,San Jose,Santa Clara,California
95624,Elk Grove,Sacramento,California
94541,Hayward,Alameda,California
95758,Elk Grove,Sacramento,California
92201,Indio,Riverside,California
94015,Daly City,San Mateo,California
95020,Gilroy,Santa Clara,California
91977,Spring Valley,San Diego,California
90019,Los Angeles,Los Angeles,California
93906,Salinas,Monterey,California
92115,San Diego,San Diego,California
94513,Brentwood,Contra Costa,California
94806,San Pablo,Contra Costa,California
92562,Murrieta,Riverside,California
95206,Stockton,San Joaquin,California
92346,Highland,San Bernardino,California
94501,Alameda,Alameda,California
90042,Los Angeles,Los Angeles,California
92627,Costa Mesa,Orange,California
90660,Pico Rivera,Los Angeles,California
92404,San Bernardino,San Bernardino,California
91732,El Monte,Los Angeles,California
91950,National City,San Diego,California
90640,Montebello,Los Angeles,California
91770,Rosemead,Los Angeles,California
95608,Carmichael,Sacramento,California
95112,San Jose,Santa Clara,California
92647,Huntington Beach,Orange,California
94122,San Francisco,San Francisco,California
91702,Azusa,Los Angeles,California
95014,Cupertino,Santa Clara,California
95111,San Jose,Santa Clara,California
91762,Ontario,San Bernardino,California
93312,Bakersfield,Kern,California
91761,Ontario,San Bernardino,California
92707,Santa Ana,Orange,California
92570,Perris,Riverside,California
90731,San Pedro,Los Angeles,California
90004,Los Angeles,Los Angeles,California
93905,Salinas,Monterey,California
92057,Oceanside,San Diego,California
92324,Colton,San Bernardino,California
92504,Riverside,Riverside,California
95051,Santa Clara,Santa Clara,California
90001,Los Angeles,Los Angeles,California
92020,El Cajon,San Diego,California
95355,Modesto,Stanislaus,California
90006,Los Angeles,Los Angeles,California
92780,Tustin,Orange,California
92630,Lake Forest,Orange,California
